dataset, model, attack, eps, defense, date, acc
fmnist, F, bim, 0.3, defense_gan, 2021-11-14 13:19, 0.4947738693467337
fmnist, B, bim, 0.1, defense_gan, 2021-11-14 13:19, 0.655678391959799
fmnist, A, bim, 0.2, defense_gan, 2021-11-14 13:18, 0.578894472361809
fmnist, E, cw, 0.05, defense_gan, 2021-11-14 13:19, 0.11537688442211055
fmnist, F, cw, 0.05, defense_gan, 2021-11-14 13:19, 0.2177889447236181
fmnist, B, bim, 0.2, defense_gan, 2021-11-14 13:19, 0.585427135678392
fmnist, A, bim, 0.3, defense_gan, 2021-11-14 13:18, 0.45597989949748746
fmnist, E, cw, 0.1, defense_gan, 2021-11-14 13:19, 0.11809045226130653
fmnist, F, cw, 0.1, defense_gan, 2021-11-14 13:19, 0.21045226130653266
fmnist, B, bim, 0.3, defense_gan, 2021-11-14 13:19, 0.45336683417085427
fmnist, A, cw, 0.05, defense_gan, 2021-11-14 13:18, 0.20452261306532662
fmnist, E, cw, 0.2, defense_gan, 2021-11-14 13:19, 0.11517587939698493
fmnist, F, cw, 0.2, defense_gan, 2021-11-14 13:19, 0.22472361809045227
fmnist, B, cw, 0.05, defense_gan, 2021-11-14 13:19, 0.2692462311557789
fmnist, A, cw, 0.1, defense_gan, 2021-11-14 13:18, 0.2293467336683417
fmnist, E, cw, 0.3, defense_gan, 2021-11-14 13:19, 0.11577889447236181
fmnist, F, cw, 0.3, defense_gan, 2021-11-14 13:19, 0.22452261306532664
fmnist, B, cw, 0.1, defense_gan, 2021-11-14 13:19, 0.26532663316582916
fmnist, A, cw, 0.2, defense_gan, 2021-11-14 13:18, 0.23015075376884422
fmnist, E, fgsm, 0.05, defense_gan, 2021-11-14 13:19, 0.7691457286432161
fmnist, F, fgsm, 0.05, defense_gan, 2021-11-14 13:19, 0.781105527638191
fmnist, B, cw, 0.2, defense_gan, 2021-11-14 13:19, 0.2741708542713568
fmnist, A, cw, 0.3, defense_gan, 2021-11-14 13:18, 0.20412060301507537
fmnist, E, fgsm, 0.1, defense_gan, 2021-11-14 13:19, 0.6931658291457287
fmnist, F, fgsm, 0.1, defense_gan, 2021-11-14 13:19, 0.7279396984924623
fmnist, B, cw, 0.3, defense_gan, 2021-11-14 13:19, 0.27959798994974877
fmnist, A, fgsm, 0.05, defense_gan, 2021-11-14 13:18, 0.784321608040201
fmnist, E, fgsm, 0.2, defense_gan, 2021-11-14 13:19, 0.49246231155778897
fmnist, F, fgsm, 0.2, defense_gan, 2021-11-14 13:19, 0.5558793969849246
fmnist, A, fgsm, 0.1, defense_gan, 2021-11-14 13:18, 0.7271356783919598
fmnist, B, fgsm, 0.05, defense_gan, 2021-11-14 13:19, 0.6667336683417086
fmnist, E, fgsm, 0.3, defense_gan, 2021-11-14 13:19, 0.2900502512562814
fmnist, F, fgsm, 0.3, defense_gan, 2021-11-14 13:19, 0.4105527638190955
fmnist, A, fgsm, 0.2, defense_gan, 2021-11-14 13:18, 0.5587939698492462
fmnist, B, fgsm, 0.1, defense_gan, 2021-11-14 13:19, 0.6405025125628141
fmnist, A, fgsm, 0.3, defense_gan, 2021-11-14 13:18, 0.38914572864321606
fmnist, B, fgsm, 0.2, defense_gan, 2021-11-14 13:19, 0.5242211055276382
fmnist, B, fgsm, 0.3, defense_gan, 2021-11-14 13:19, 0.3951758793969849
fmnist, D, bpda_fgsm, 0.05, defense_gan, 2021-11-17 00:09, 0.7693467336683417
fmnist, D, bpda_fgsm, 0.1, defense_gan, 2021-11-17 00:09, 0.698894472361809
fmnist, D, bpda_fgsm, 0.2, defense_gan, 2021-11-17 00:09, 0.48321608040201003
fmnist, D, bpda_fgsm, 0.3, defense_gan, 2021-11-17 00:09, 0.24763819095477388
fmnist, C, bpda_fgsm, 0.05, defense_gan, 2021-11-17 00:09, 0.774572864321608
fmnist, C, bpda_fgsm, 0.1, defense_gan, 2021-11-17 00:09, 0.7255276381909548
fmnist, C, bpda_fgsm, 0.2, defense_gan, 2021-11-17 00:09, 0.5905527638190955
